document_index	document	synthetic_query	__index_level_0__	Context_Relevance_Label	generated_answer	Answer_Faithfulness_Label	Answer_Relevance_Label
2893	Following the Union Army victory at the Battle of Shiloh on April 6–7, Maj. Gen. Henry Halleck amassed three Union armies —the Army of the Tennessee, the Army of the Ohio, and the Army of the Mississippi— for an advance on the vital rail center of Corinth, Mississippi. Made cautious by the staggering losses at Shiloh, Halleck embarked on a tedious campaign of offensive entrenchment, fortifying after each advance. By May 25, 1862, after moving five miles in three weeks, Halleck was in position to lay siege to the town. Confederate morale was low and Beauregard was outnumbered two to one. The water was bad. Typhoid and dysentery had felled thousands of his men. At a council of war, the Confederate officers concluded that they could not hold the railroad crossover. Sickness had claimed the lives of almost as many men as the Confederacy had lost at Shiloh.	"Who wrote the song ""Got My Mind Set on You""?"		No			
330	During the 2012–13 season, Curry set the NBA record for three-pointers made in a regular season with 272. He surpassed that record in 2015 with 286, and again in 2016 with 402. Curry is currently third in all-time made three-pointers in NBA history. The 2012–13 season saw Curry and teammate Klay Thompson earn the nickname of the Splash Brothers, with the pair going on to set the NBA record for combined three-pointers in a season with 484 in 2013–14, a record they broke the following season (525) and again in the 2015–16 season (678).	Who holds the third place in all-time made three-pointers in NBA history?	20557.0	Yes	Steph Curry	Yes	Yes
468	With his victory at the 2018 Winter Olympics, Yuzuru Hanyu became the first male figure skater to win two consecutive gold medals after Dick Button, who did so in 1952. Fellow countryman Shoma Uno won the silver medal, and Spain's Javier Fernández won the bronze medal. Fernández won Spain's first figure skating medal and fourth medal at the Winter Olympics.	Who won the bronze medal at the 2018 Winter Olympics?	1200.0	Yes	Javier Fernández	Yes	Yes
3055	"Investment banker Harold Lee is persuaded by his colleagues to do their work while they leave for the weekend. Meanwhile, Kumar Patel attends a medical school interview, but intentionally botches it to prevent getting accepted. Harold is attracted to his neighbor, Maria, but is unable to admit his feelings. After smoking marijuana with Kumar, and seeing an advertisement for White Castle, the pair decide to get hamburgers to satisfy their hunger. After traveling to the nearest White Castle in New Brunswick, they find it replaced by ""Burger Shack"" but learn of another White Castle in Cherry Hill."	What is the location of the White Castle that Harold and Kumar ultimately plan to visit?	15891.0	Yes	The Olivier and Tony Awards for Best Actor in a Musical.	No	No
206	At this point, the fats are in the bloodstream in the form of chylomicrons. Once in the blood, chylomicrons are subject to delipidation by lipoprotein lipase. Eventually, enough lipid has been lost and additional apolipoproteins gained, that the resulting particle (now referred to as a chylomicron remnant) can be taken up by the liver. From the liver, the fat released from chylomicron remnants can be re-exported to the blood as the triglyceride component of very low-density lipoproteins. Very low-density lipoproteins are also subject to delipidation by vascular lipoprotein lipase, and deliver fats to tissues throughout the body. In particular, the released fatty acids can be stored in adipose cells as triglycerides. As triglycerides are lost from very low-density lipoproteins, the lipoprotein particles become smaller and denser (since protein is denser than lipid) and ultimately become low-density lipoproteins. A great deal has been written about low-density lipoproteins because they are thought to be atherogenic.	What happens to the fats released from chylomicron remnants in the liver?	9676.0	Yes	A solid bounded by a cylindrical surface and two parallel planes is called a cylinder.	No	No
5925	"Enlisted Marines with paygrades of E-4 and E-5 are non-commissioned officers (NCOs) while those at E-6 and higher are Staff Noncommissioned Officers (SNCOs). The E-8 and E-9 levels each have two ranks per pay grade, each with different responsibilities. Gunnery Sergeants (E-7) indicate on their annual evaluations (called ""fitness reports"") their preferred promotional track: Master Sergeant or First Sergeant. The First Sergeant and Sergeant Major ranks are command-oriented Senior Enlisted Advisors, with Marines of these ranks serving as the senior enlisted Marines in a unit, charged to assist the commanding officer in matters of discipline, administration, and the morale and welfare of the unit. Master Sergeants and Master Gunnery Sergeants provide technical leadership as occupational specialists in their specific MOS. First Sergeants typically serve as the senior enlisted Marine in a company, battery, or other unit at similar echelon, while Sergeants Major serve the same role in battalions, squadrons, or larger units."	What are the responsibilities of a Master Sergeant in the Marines?	6446.0	Yes	The responsibilities of a Master Sergeant in the Marines are to provide technical leadership as occupational specialists in their specific MOS.	Yes	Yes
2739	"Cars 3 is a 2017 American 3D computer-animated comedy-adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures. Directed by Brian Fee in his directorial debut and written by Kiel Murray, Bob Peterson and Mike Rich, it is the third installment of the ""Cars"" film franchise and a stand-alone sequel to ""Cars 2"" (2011). It was executive-produced by then-chief creative officer of Walt Disney Animation Studios and Pixar, John Lasseter, who directed the first two ""Cars"" films. The returning voices of Owen Wilson, Bonnie Hunt and Larry the Cable Guy are joined by Cristela Alonzo, Chris Cooper, Armie Hammer, Nathan Fillion, Kerry Washington and Lea DeLaria, in addition to a dozen NASCAR personalities. In the film, Lightning McQueen sets out to prove to a new generation of high tech race cars that he is still the best race car in the world."	In what year did the Mike O'Callaghan–Pat Tillman Memorial Bridge open?		No			
5147	"Partible pitched the series to Hanna-Barbera's animation showcase ""What a Cartoon!"", basing it on his senior thesis project he produced while attending Loyola Marymount University. A pilot short aired on Cartoon Network in 1995. The series was renewed for a second season in 1999, during which Partible left and the show was retooled under the direction of Kirk Tingblad. In 2003, Partible returned for the series' fourth season, restoring it to its original format and style. A total of four seasons and 67 episodes have aired. The first three seasons were produced by Hanna-Barbera Cartoons, and the fourth season was produced by Cartoon Network Studios."	What station did the Jewish children's journey start from?		No			
149	"BULLET::::- ""Renewable resources"" — Renewable resources can be replenished naturally. Some of these resources, like sunlight, air, wind, water, etc. are continuously available and their quantities are not noticeably affected by human consumption. Though many renewable resources do not have such a rapid recovery rate, these resources are susceptible to depletion by over-use. Resources from a human use perspective are classified as renewable so long as the rate of replenishment/recovery exceeds that of the rate of consumption. They replenish easily compared to Non-renewable resources."	What is the term for having a high temperature almost constant and independent of that of the surrounding air?		No			
4497	After a player has been designated for assignment, the other 30 NHL teams can put in a claim or waive their claim for that player. The claims process starts at noon Eastern Time and ends 24 hours later. If only one team makes a claim for the player, then he will be transferred to the claiming team. If more than one team makes a claim, then the player will be transferred to the team having the lowest percentage of possible points in league standings at the time of the request for waivers. When a waiver claim has been secured, the claiming team must pay a transfer fee to the original club, though this fee is not counted against the salary cap. If waivers are requested outside the playing season, or before November 1, then the player shall be transferred to the team with the lowest points in the preceding season. If no team places a claim, the player can be sent to a minor league affiliate.	What is the thickness of the frozen carbon dioxide layer on the north cap in the northern winter?		No			
5831	"Nintendo started out as a small Japanese company, founded by Fusajiro Yamauchi on September 23, 1889, as Nintendo Koppai. Based in Kyoto, Japan, the business produced and marketed ""hanafuda"". The name ""Nintendo"" is commonly assumed to mean ""leave luck to heaven"", but there are no historical records to validate this assumption. The cards, which were all handmade, soon began to gain in popularity, and Yamauchi had to hire assistants to mass-produce cards to keep up with the demand."	Where was Nintendo Koppai based?	6710.0	Yes	Christmas	No	No
960	"Alfred P. Aldrich, a South Carolinian politician from Barnwell, stated that declaring secession would be necessary if a Republican candidate were to win the 1860 U.S. presidential election, stating that it was the only way for the state to preserve slavery and diminish the influence of the anti-slavery Republican Party, which, were its goals of abolition realized, would result in the ""destruction of the South"":"	How many miles west-southwest of Washington, D.C. was the battle fought?		No			
4885	"The series is generally praised for what is perceived as a sort of medieval realism. George R.R. Martin set out to make the story feel more like historical fiction than contemporary fantasy, with less emphasis on magic and sorcery and more on battles, political intrigue, and the characters, believing that magic should be used moderately in the epic fantasy genre. Martin has stated that ""the true horrors of human history derive not from orcs and Dark Lords, but from ourselves."""	What did George R.R. Martin believe should be used moderately in the epic fantasy genre?	16158.0	Yes	Magic	Yes	Yes
4895	"Many Brazilians decorate their homes with a Christmas Tree, there is no rule, the parents can decorate it by themselves as a surprise to the kids, or they can do it together. In addition to the Christmas tree, many families set up a Nativity scene as the main decoration. Nativity scenes are very popular in Brazil, and can be seen everywhere including churches and popular places around the town. Like many other countries, Christmas dinner in Brazil is normally served late in the evening on Christmas Eve around 10 or 11 p.m. The meal often includes farofa stuffing, assortments of fruit, fried cod, and roast turkey with a dessert called ""rabanada"". Along with their meals, Brazilians typically drink champagne, wine, and fruit punch. Typically after they eat, many Brazilians attend a Midnight Mass service or watch the Pope's television broadcast celebration of ""Midnight Mass in Rome"" with family and friends."	What position did Brent Barry play in the NBA?		No			
5606	In December 2012, a research team in China announced that it had produced measurements of the phase lag of Earth tides during full and new moons which seem to prove that the speed of gravity is equal to the speed of light. This means that if the Sun suddenly disappeared, the Earth would keep orbiting it normally for 8 minutes, which is the time light takes to travel that distance. The team's findings were released in the Chinese Science Bulletin in February 2013.	What is the time it would take for the Earth to realize the Sun has disappeared if it suddenly vanished?	2491.0	Yes	8 minutes	Yes	Yes
1302	"8 Mile is a 2002 American drama film written by Scott Silver, directed by Curtis Hanson, and starring Eminem, Mekhi Phifer, Brittany Murphy, Michael Shannon, Anthony Mackie and Kim Basinger. The film follows white rapper B-Rabbit (Eminem) and his attempt to launch a career in a genre dominated by African-Americans. The title is derived from 8 Mile Road, the highway between the predominantly black city of Detroit and Wayne County and the predominantly white Oakland County and Macomb County suburbs. It was filmed mostly on location. ""8 Mile"" was a critical and commercial success. Eminem won the Academy Award for Best Original Song for ""Lose Yourself""."	What is the main source of financial inflows to developing countries besides international aid?		No			
6075	Then suddenly an old, venerable Brahmin appeared before him. He removed the rope from Kaundinya's neck and led him into a cave. At first, it was very dark. But then a bright light appeared and they reached a big palace. A great assembly of men and women had gathered. The old Brahmin went straight towards the throne.	Where did the filming of the Percy Jackson film wrap up on July 25, 2009?		No			
1849	Ireland, 1905: Percy Fawcett is a young British officer participating in a stag hunt on an Irish baronial estate for the benefit of the visiting Archduke Franz Ferdinand of Austria. A skilled horseman and marksman, he brings down the stag swiftly but is snubbed at the after-hunt party. A year later, Fawcett is sent to London to meet with officials of the Royal Geographical Society (RGS). The governments of Bolivia and Brazil are nearly at war over the location of their mutual boundary and its direct effect on the region's extremely lucrative rubber trade, and have asked the British government to survey it. Fawcett agrees to lead the survey party to restore his family's good name. Aboard a ship to Brazil, Fawcett meets Corporal Henry Costin, who has knowledge of the Amazon rainforest. At a large rubber plantation in the jungle owned by the Portuguese nobleman Baron de Gondoris, the two meet Corporal Arthur Manley, who tells them that the British government advises against further exploration. Fawcett, with several guides and the Amazonian scout Tadjui, completes the mission. Tadjui tells Fawcett stories about a jungle city covered in gold and full of people. Fawcett dismisses such stories as insane ravings, but discovers highly advanced broken pottery and some small stone statues in the jungle that convince him of the veracity of Tadjui's story.	Where did Percy Fawcett initially participate in a stag hunt?	14086.0	Yes	Ireland	Yes	Yes
2494	BULLET::::- César - Kahaya tribe found a tuberous root shrub near the camp shelter. They decided to collect some tubers to cook and eat them. However, it wasn't good idea at all as many tribe members became intoxicated, especially Diana Marcela. This weakened the tribe and they lost IC for the second time. César had been viewed as being too lazy around camp so they decided to vote him out and to keep an ill member hoping she would get better later. (voted out 6-1)	Who was voted out of the tribe?	18965.0	Yes	César	Yes	Yes
1749	Hope Alice Williams, the mother of Shawn-Douglas, Zack and Ciara Brady, was born on-screen on January 10, 1974 to Doug Williams and Addie Horton. Not long after Addie marries Doug and becomes pregnant, she discovers she is suffering from leukemia, but declines treatment in order to save her unborn baby. Later that year while crossing the street, an oncoming car careens towards Hope and Addie, but Addie pushes Hope's baby-carriage out of the way, just in time to save her baby daughter, but not herself. Addie dies, and Hope is taken in by her maternal grandparents, Tom and Alice Horton, until Doug is strong enough to take care of her. Addie, who was wealthy from her first marriage to Ben Olson, leaves Doug and Hope with financial security. Hope is sent off to boarding school in 1982 and is not seen again until a year later. She returns in the spring of 1983 when Roman Brady rescues her after she runs away from boarding school and later falls from a car driven by a drunk friend. She later develops a crush on Roman.	"Who is believed to have been referred to as ""First Lady"" in 1849?"		No			
2985	This new restaurant converted the 1933 addition at the back of the building into a bar and sitting (waiting) area for guests. The bar had an impressive bar wood and a large fireplace that welcomed visitors to warm themselves in the winter and housed bouquets constructed from donations from the walled garden (The Friends of Maplelawn) in the warmer months. The western side of the addition housed French doors that led to a large flagstone patio and outdoor reception area. The patios and reception areas were extensively renovated by a landscape architect who, with the help of their team, did an outstanding job.	"What was the peak position of ""Would I Lie to You"" on the ""Billboard"" Hot 100?"		No			
4469	"In the United States, the film was released on August 19, 2016, alongside ""Ben-Hur"" and ""War Dogs"", and was projected to gross $12–15 million from 3,260 theaters in its opening weekend. It made $515,000 from its Thursday night previews and $4.1 million on its first day. It went on to gross $12.6 million in its opening weekend, finishing 4th at the box office."	What was the total amount of money the film made on its first day?	9834.0	Yes	$4.1 million	Yes	Yes
83	Some delegates were away on business when the Declaration was debated, including William Hooper and Samuel Chase, but they were back in Congress to sign on August 2. Other delegates were present when the Declaration was debated but added their names after August 2, including Lewis Morris, Oliver Wolcott, Thomas McKean, and possibly Elbridge Gerry. Richard Henry Lee and George Wythe were in Virginia during July and August, but returned to Congress and signed the Declaration probably in September and October, respectively.	On which date did William Hooper and Samuel Chase sign the Declaration?	15719.0	Yes	Rocky and His Friends	No	No
3772	"According to the website of ""The New Grove Dictionary of Music and Musicians"", the term ""pop music"" ""originated in Britain in the mid-1950s as a description for rock and roll and the new youth music styles that it influenced"". ""The Oxford Dictionary of Music"" states that while pop's ""earlier meaning meant concerts appealing to a wide audience [...] since the late 1950s, however, pop has had the special meaning of non-classical mus[ic], usually in the form of songs, performed by such artists as the Beatles, the Rolling Stones, ABBA, etc."" ""Grove Music Online"" also states that ""[...] in the early 1960s, [the term] 'pop music' competed terminologically with beat music [in England], while in the US its coverage overlapped (as it still does) with that of 'rock and roll'""."	"What does the term ""pop music"" describe according to ""The Oxford Dictionary of Music""?"	17455.0	Yes	It was possible to provide better housing for people on low incomes.	No	No
3144	"It was suggested that the interior of the 45 metre (147 ft) wide dome should be covered with a mosaic decoration to make the most of the available light coming through the circular windows of the drum and through the lantern. Brunelleschi had proposed the vault to glimmer with resplendent gold, but his death in 1446 put an end to this project, and the walls of the dome were whitewashed. Grand Duke Cosimo I de' Medici decided to have the dome painted with a representation of ""The Last Judgment"". This enormous work, 3,600 metres² (38 750 ft²) of painted surface, was started in 1568 by Giorgio Vasari and Federico Zuccari and would last till 1579. The upper portion, near the lantern, representing ""The 24 Elders of Apoc. 4"" was finished by Vasari before his death in 1574. Federico Zuccari and a number of collaborators, such as Domenico Cresti, finished the other portions: (from top to bottom) ""Choirs of Angels""; ""Christ, Mary and Saints""; ""Virtues, Gifts of the Holy Spirit and Beatitudes""; and at the bottom of the cupola: ""Capital Sins and Hell"". These frescoes are considered Zuccari's greatest work. But the quality of the work is uneven because of the input of different artists and the different techniques. Vasari had used ""true fresco"", while Zuccari had painted ""in secco"". During the restoration work, which ended in 1995, the entire pictorial cycle of ""The Last Judgment"" was photographed with specially designed equipment and all the information collected in a catalogue. All the restoration information along with reconstructed images of the frescos were stored and managed in the Thesaurus Florentinus computer system."	"What is the origin of the name ""Stevia""?"		No			
5506	"Anelosimus pratchetti is a species of tangle-web spider found in New South Wales, Australia. Initial field observations indicate it is a subsocial spider. It lives in low elevation environments, including beachfront mangrove forests. It was identified by Ingi Agnarsson in 2012, who named the species after Terry Pratchett, whom Agnarsson described as ""a comic genius."""	What environment does Anelosimus pratchetti typically inhabit?	18227.0	Yes	The answer is The Emotions.	No	No
2219	"In the season one premiere, Payson Keeler (Ayla Kell), Kaylie Cruz (Josie Loren), and Lauren Tanner (Cassie Scerbo) are elite-level gymnasts. They train at one of the best gyms in the country, the fictional ""Rocky Mountain Gymnastics Training Center"" (or ""The Rock"") in Boulder, Colorado, in hopes of winning gold at the 2012 Summer Olympics. The girls have been best friends and teammates for years. They are joined by newcomer Emily Kmetko (Chelsea Hobbs), an untrained gymnastics phenomenon plucked from obscurity. It is revealed that Emily's family is struggling for money, and she has to work at Pizza Shack to keep them afloat, and receives scholarship money to do gymnastics. The Rock's Athletes compete for places on the club's team for nationals. Emily ranks third ahead of Lauren, despite Lauren's attempt to sabotage her vault."	What is Emily's job to help her family financially?	12802.0	Yes	She works at Pizza Shack.	Yes	Yes
584	"The second season of the American web television series ""Luke Cage"", which is based on the Marvel Comics character of the same name, sees Cage become a hero and celebrity in Harlem after clearing his name, only to face a new threat. It is set in the Marvel Cinematic Universe (MCU), sharing continuity with the films and other television series of the franchise. The season was produced by Marvel Television in association with ABC Studios, with Cheo Hodari Coker serving as showrunner."	What division do the Philadelphia Eagles compete in?		No			
4651	The film is based on a story heard by Christopher Monger from his grandfather about the real village of Taff's Well, in the old county of Glamorgan, and its neighbouring Garth Hill. Due to 20th century urbanisation of the area, it was filmed in the more rural Llanrhaeadr-ym-Mochnant and Llansilin in Powys. The Welsh Male Voice Choir used to provide background music throughout the film was, in fact, the London-based Gwalia Male Choir.	What is the name of the choir that provided background music in the film?	15786.0	Yes	The answer is: Gwalia Male Choir.	Yes	Yes
1752	"Due to its popularity, ""The Walking Dead"" has inspired dozens of parodies and spoofs featured on YouTube channels like Bad Lip Reading and television series such as ""Saturday Night Live"" and ""Mad TV"". Bad Lip Reading made a widely viewed parody involving Rick and the Governor, entitled ""La-Bibbida-Bibba-Dum"". The series' cast was shown the parody at the San Diego Comic-Con in 2013, and David Morrisseywho portrays the Governor reacted by saying he now understood why so many people would walk up to him on the street and blurt, ""Hey, La-Bibbida-Bibba-Dum!"" Until seeing the video, he had wondered, ""what's wrong with these people?"" ""The Walking Dead"" has also been represented as a live comedy performance by English comedian Dan Willis at the Edinburgh Festival. A parody film called ""The Walking Deceased"" was released in 2015."	What is the expected release date of the sequel to the novel?		No			
4786	Autumn, also known as fall in American English and sometimes in Canadian English, is one of the four temperate seasons. Autumn marks the transition from summer to winter, in September (Northern Hemisphere) or March (Southern Hemisphere), when the duration of daylight becomes noticeably shorter and the temperature cools considerably. One of its main features in temperate climates is the shedding of leaves from deciduous trees.	In which hemisphere does autumn begin in March?	23088.0	Yes	The answer is Alex Drake, the twin sister of Spencer.	No	No
253	The history of chocolate in Spain is part of the culinary history of Spain as understood since the 16th century, when the colonization of the Americas began and the cocoa plant was discovered in regions of Mesoamerica, until the present. After the conquest of Mexico, cocoa as a commodity travelled by boat from the port of Nueva España to the Spanish coast. The first such voyage to Europe occurred at an unknown date in the 1520s. However it was only in the 17th century that regular trade began from the port of Veracruz, opening a maritime trade route that would supply the new demand from Spain, and later from other European countries.	When did regular trade of cocoa from Mesoamerica to Spain begin?	7979.0	Yes	The answer is: In the 17th century.	Yes	Yes
6111	"In October 2017, Cuoco founded Yes, Norman Productions, a film and television production company which entered an exclusive multi-year first look production deal with Warner Bros. Television. The company is named after Cuoco's dog, Norman. The company optioned the rights to ""The Flight Attendant"", a book written by author Chris Bohjalian, which will be developed into an limited series, with Cuoco to star and executive produce."	Who are the only two players to have won the All-Star Game MVP four times?		No			
3999	Born in Dublin, Dick was the eldest child of East India merchant and proprietor Samuel Dick and Charlotte née Forster, daughter of Nicholas Forster. He graduated from Trinity College, Dublin with a BA in 1797, before becoming a barrister of King's Inns, Dublin, in 1800. He died at his home in Mayfair, London, in 1858, unmarried, leaving an estate worth almost £300,000.	Where did Dick die?	5175.0	Yes	"The purpose of the first self-published comic of the Teenage Mutant Ninja Turtles was to parody four popular comics of the early 1980s: Marvel Comics' ""Daredevil"" and ""New Mutants"", Dave Sim's ""Cerebus"", and Frank Miller's ""Ronin""."	No	No
5746	Oceanic trenches are narrow topographic lows that mark convergent boundaries or subduction zones. Oceanic trenches can be average 50 – 100  km wide and can be several thousand kilometers long. Oceanic trenches form as a result of bending of the subducting slab. Depth of oceanic trenches seems to be controlled by age of the oceanic lithosphere being subducted. Sediment fill in oceanic trenches varies and generally depends on abundance of sediment input from surrounding areas. An oceanic trench, the Mariana Trench, is the deepest point of the ocean at a depth of approximately 11,000 m.	In what form was Goku first introduced to most Western audiences?		No			
3570	Narcissa Niblack Thorne (May 2, 1882 – June 25, 1966) was an American artist known for her extremely detailed miniature rooms. Her works depict historical interiors from Europe, Asia and North America from the late 13th to the early 20th century. The Thorne rooms are honored with dedicated exhibits in the Phoenix Art Museum, the Knoxville Museum of Art, and the Art Institute of Chicago, where a special wing was built to house them.	What award did Kendrick Lamar win in 2018, the first non-classical or jazz work to win the award?		No			
3624	Cities along the Ohio are also among the oldest cities in their respective states and among the oldest cities in the United States west of the Appalachian Mountains (by date of founding): Pittsburgh, Pennsylvania, 1758; Wheeling, West Virginia, 1769; Huntington, West Virginia, 1775; Louisville, Kentucky, 1779; Clarksville, Indiana, 1783; Maysville, Kentucky, 1784; Martin's Ferry, Ohio, 1785; Marietta, Ohio, 1788; Cincinnati, Ohio, 1789; Manchester, Ohio, 1790; and Beaver, Pennsylvania, 1792.	Who was joined by 1868 war veterans, such as Polish internationalist General Carlos Roloff and Serafín Sánchez in Las Villas?		No			
2025	Prior to 1973, mobile telephony was limited to phones installed in cars and other vehicles. Motorola was the first company to produce a handheld mobile phone. On April 3, 1973, Martin Cooper, a Motorola researcher and executive, made the first mobile telephone call from handheld subscriber equipment, placing a call to Dr. Joel S. Engel of Bell Labs, his rival. The prototype handheld phone used by Dr. Cooper weighed and measured . The prototype offered a talk time of just 30 minutes and took 10 hours to re-charge.	Who weighed the prototype handheld phone used by Dr. Cooper?	19535.0	Yes	The song's tapes.	No	No
6018	"The sciatic nerve (also called ""ischiadic nerve"", ""ischiatic nerve"") is a large nerve in humans and other animals. It begins in the lower back and runs through the buttock and down the lower limb. It is the longest and widest single nerve in the human body, going from the top of the leg to the foot on the posterior aspect. The sciatic nerve provides the connection to the nervous system for nearly the whole of the skin of the leg, the muscles of the back of the thigh, and those of the leg and foot. It is derived from spinal nerves L4 to S3. It contains fibers from both the anterior and posterior divisions of the lumbosacral plexus."	What part of the body does the sciatic nerve run through before reaching the lower limb?	10995.0	Yes	The buttock.	Yes	Yes
910	"The ""Hindenburg"" disaster occurred on May 6, 1937, in Manchester Township, New Jersey, United States. The German passenger airship LZ 129 ""Hindenburg"" caught fire and was destroyed during its attempt to dock with its mooring mast at Naval Air Station Lakehurst. On board were 97 people (36 passengers and 61 crewmen); there were 36 fatalities (13 passengers and 22 crewmen, 1 worker on the ground)."	What is the current minimum amount in controversy required for diversity jurisdiction in United States federal courts?		No			
432	"Many physicians are slow to refer to hospice care, waiting until they are absolutely certain of a terminal prognosis. Some physicians believe that the patient ""must"" have a six-month prognosis or less to receive hospice care, while others are overly optimistic in their assessment of prognosis, presuming treatment will be more effective than it is. As a result, the majority of patients are referred to hospice in the very end-stages of their diseases, or choose that time to seek hospice care. The average length of stay in hospice before a patient dies was 26 days in 1994 and 19 days in 1998. Although the length of average stays has since increased, the term of care continues to be underused. In 2004 the average stay was 57 days and the median length was 22 days. 33% of hospice patients admitted in 2004 died within seven days of admission."	What was the median length of hospice care in 2004?	1081.0	Yes	He drinks Anna's blood and takes all of Elena's sleeping pills.	No	No
79	The draw for the quarter-finals took place on 17 February 2018 at 20:00 GMT and was broadcast live on BT Sport, the BBC Sport website and app, and BBC Radio 5 Live. This round included one team from Level 3 still in the competition, Wigan Athletic, who were the lowest-ranked team in this round.	What level was Wigan Athletic in the competition?	3917.0	Yes	May	No	No
5756	"The Nightmare Before Christmas (also known as Tim Burton's The Nightmare Before Christmas) is a 1993 American stop-motion animated musical dark fantasy Halloween film directed by Henry Selick, and produced and conceived by Tim Burton. It tells the story of Jack Skellington, the King of ""Halloween Town"" who stumbles through a portal to ""Christmas Town"" and decides to celebrate the holiday. Danny Elfman wrote the songs and score, and provided the singing voice of Jack. The principal voice cast also includes Chris Sarandon, Catherine O'Hara, William Hickey, Ken Page, Paul Reubens, Glenn Shadix, and Ed Ivory."	Who provided the singing voice of Jack Skellington?	20002.0	Yes	Near the village of Earswick, two and a half miles to the north of the centre of York.	No	No
434	"The proceedings of the trial of Reverend Mr. James Long first appeared in the second Edition (India) of the English version of the play, ""Nil Darpan"" (also transliterated as ""Neel Darpan"" or ""Nil Durpan""). It included all the relevant documents and comments of the Indian and British newspapers. It was published in 1903 by Messrs A. N. Andini and Co., Calcutta. Mr. Kumud Bihari Bose compiled it under the title: """"The Trial of the Rev. James Long and the Drama of"" Nil Durpan,"" subtitled ""Indigo Planters and all about them."" The play dealt with the upheaval between the indigo planters and Indian ryots in different parts of Bengal, Bihar, and U.P. This conflict gave rise to the rift and division between the different classes of the society and between the different sections of the government as well."	In what year was the trial of Reverend Mr. James Long first published?	15855.0	Yes	Volative	No	No
5988	"The Saint of Killers first appeared as a heartless murderer, who is transformed into the Angel of Death under the condition that he takes up the role of collecting the souls of those who die by violence. Following his reanimation, Heaven arranged for him to be put into a deep slumber, until he was needed to kill people. The Saint was a primary antagonist in the ""Preacher"" series, who is tasked by Heaven to kill protagonist Jesse Custer due to his possession by the entity Genesis. Aside from Ennis and Dillon's ""Preacher"", the Saint was featured in his own four-issue limited series, ""Preacher: Saint of Killers"", which expanded on the Saint's background and motivation, and has appeared briefly in the DC Comics series ""Hitman"", centered on a ""wise-cracking assassin plying his trade in Gotham City"", and is portrayed by Graham McTavish in the television series adaptation of ""Preacher""."	What is the primary purpose of the State of the Union address, according to the U.S. Constitution?		No			
2568	Mayhem was born in Brisbane, Queensland, Australia and she is half Australian and half Welsh. She attended Kenmore State High School but was expelled. Prior to working in porn, she worked in financial markets and futures trading in Sydney. She then moved to London and worked in an International Petroleum Exchange brokerage.	"How many times did the film ""Titanic"" cross the $1 billion threshold?"		No			
348	Manny and Ellie are expecting their first child. Scrat falls in love with fellow squirrel Scratte. Diego is anxious about settling down for a domestic life with Manny's new family. Sid begins to wish for a family of his own, and steals some dinosaur eggs which leads to Sid ending up in a strange underground world where his herd must rescue him. The herd also meets an insane one-eyed weasel known as Buck who aids them on their quest.	Who is anxious about settling down for a domestic life with Manny's new family?	5070.0	Yes	The answer is: a road to provide visitor access from US 281 to the newly renovated Longhorn Cavern State Park.	No	No
4464	Couples performed one unlearned dance celebrating the most memorable year of their lives. Each celebrity included a brief solo during their routines. Kyle Jacobs, Kellie Pickler's husband, performed his own song, which he wrote for Kellie. During the results show, Karina Smirnoff and Valentin Chmerkovskiy were revealed to have received the most Twitter votes (hashtag #ProName) on Monday night's performance show.	Who is the husband of Kellie Pickler?	15407.0	Yes	Hardraw Force in North Yorkshire	No	No
4071	"Fox announced on May 14, 2012, that ""Glee"" would be moving to Thursday nights at 9 pm ET for the fourth season. Episodes aired after that evening's 8 pm ET music competition ""results"" shows—""The X Factor"" in the fall and ""American Idol"" in midseason. The season premiered on September 13, 2012 with the second episode of the season serving as the show's second Britney Spears tribute, featuring eight of her songs."	What was the nature of Rose Stagg's sexual relationship with Paul while at university?		No			
5051	Though the show is hosted by Nye, five correspondents assist in the presentation of the show. These include fashion model Karlie Kloss, science YouTuber and educator Derek Muller, comedian Nazeem Hussain, comedian and writer Joanna Hausmann, and the TV host and producer Emily Calandrelli. The thirteen-episode season premiered on April 21, 2017. The show's theme song was produced by Tyler, the Creator. On June 15, 2017, Nye announced on his Facebook page that the series had been renewed for a six-episodes second season, which premiered on December 29, 2017.	What did the author publish in 1969?		No			
4502	"The episode opens ""in medias res"" as former Sheriff Deputy Rick Grimes (Andrew Lincoln) scavenges for gas and supplies at an abandoned convenience store in rural Georgia on a deserted highway. He spots a little girl (Addy Miller), but she turns out to be a zombie. When she charges towards him, Rick shoots her in the head."	Why is a quiet setting with few distractions necessary for people with Tourette's syndrome?		No			
1027	"The Gulf War (2 August 199028 February 1991), codenamed Operation Desert Shield (2 August 199017 January 1991) for operations leading to the buildup of troops and defense of Saudi Arabia and Operation Desert Storm (17 January 199128 February 1991) in its combat phase, was a war waged by coalition forces from 35 nations led by the United States against Iraq in response to Iraq's invasion and annexation of Kuwait arising from oil pricing and production disputes. The war is also known under other names, such as the Persian Gulf War, First Gulf War, Gulf War I, Kuwait War, First Iraq War or Iraq War, before the term ""Iraq War"" became identified instead with the post-2003 Iraq War."	What was the year the Eagles won their first Super Bowl?		No			
